id,name,bred_for,breed_group,weight,height,life_span,temperament,origin,image
1,Affenpinscher,"Small rodent hunting, lapdog",Toy,3 - 6,23 - 29,10 - 12 years,"Stubborn, Curious, Playful, Adventurous, Active, Fun-loving","Germany, France",https://cdn2.thedogapi.com/images/BJa4kxc4X.jpg
2,Afghan Hound,Coursing and hunting,Hound,23 - 27,64 - 69,10 - 13 years,"Aloof, Clownish, Dignified, Independent, Happy","Afghanistan, Iran, Pakistan",https://cdn2.thedogapi.com/images/hMyT4CDXR.jpg
3,African Hunting Dog,A wild pack animal,Unknown,20 - 30,76,11 years,"Wild, Hardworking, Dutiful",,https://cdn2.thedogapi.com/images/rkiByec47.jpg
4,Airedale Terrier,"Badger, otter hunting",Terrier,18 - 29,53 - 58,10 - 13 years,"Outgoing, Friendly, Alert, Confident, Intelligent, Courageous","United Kingdom, England",https://cdn2.thedogapi.com/images/1-7cgoZSh.jpg
5,Akbash Dog,Sheep guarding,Working,41 - 54,71 - 86,10 - 12 years,"Loyal, Independent, Intelligent, Brave",,https://cdn2.thedogapi.com/images/26pHT3Qk7.jpg
6,Akita,Hunting bears,Working,29 - 52,61 - 71,10 - 14 years,"Docile, Alert, Responsive, Dignified, Composed, Friendly, Receptive, Faithful, Courageous",Unknown,https://cdn2.thedogapi.com/images/BFRYBufpm.jpg
7,Alapaha Blue Blood Bulldog,Guarding,Mixed,25 - 41,46 - 61,12 - 13 years,"Loving, Protective, Trainable, Dutiful, Responsible",Unknown,https://cdn2.thedogapi.com/images/33mJ-V3RX.jpg
8,Alaskan Husky,Sled pulling,Mixed,17 - 23,58 - 66,10 - 13 years,"Friendly, Energetic, Loyal, Gentle, Confident",Unknown,https://cdn2.thedogapi.com/images/-HgpNnGXl.jpg
9,Alaskan Malamute,"Hauling heavy freight, Sled pulling",Working,29 - 45,58 - 64,12 - 15 years,"Friendly, Affectionate, Devoted, Loyal, Dignified, Playful",Unknown,https://cdn2.thedogapi.com/images/dW5UucTIW.jpg
10,American Bulldog,Unknown,Working,27 - 54,56 - 69,10 - 12 years,"Friendly, Assertive, Energetic, Loyal, Gentle, Confident, Dominant",Unknown,https://cdn2.thedogapi.com/images/pk1AAdloG.jpg
11,American Bully,Family companion dog,,14 - 68,36 - 43,8 – 15 years,"Strong Willed, Stubborn, Friendly, Clownish, Affectionate, Loyal, Obedient, Intelligent, Courageous",Unknown,https://cdn2.thedogapi.com/images/sqQJDtbpY.jpg
12,American Eskimo Dog,Circus performer,Non-Sporting,9 - 18,38 - 48,12 - 15 years,"Friendly, Alert, Reserved, Intelligent, Protective",Unknown,https://cdn2.thedogapi.com/images/Bymjyec4m.jpg
13,American Eskimo Dog (Miniature),Companionship,Unknown,3 - 5,23 - 30,13 – 15 years,"Friendly, Alert, Reserved, Intelligent, Protective",Unknown,https://cdn2.thedogapi.com/images/_gn8GLrE6.jpg
14,American Foxhound,"Fox hunting, scent hound",Hound,29 - 34,53 - 71,8 - 15 years,"Kind, Sweet-Tempered, Loyal, Independent, Intelligent, Loving",Unknown,https://cdn2.thedogapi.com/images/S14n1x9NQ.jpg
15,American Pit Bull Terrier,Fighting,Terrier,14 - 27,43 - 53,10 - 15 years,"Strong Willed, Stubborn, Friendly, Clownish, Affectionate, Loyal, Obedient, Intelligent, Courageous",Unknown,https://cdn2.thedogapi.com/images/HkC31gcNm.jpg
16,American Staffordshire Terrier,,Terrier,23 - 27,43 - 48,12 - 15 years,"Tenacious, Friendly, Devoted, Loyal, Attentive, Courageous",Unknown,https://cdn2.thedogapi.com/images/rJIakgc4m.jpg
17,American Water Spaniel,Bird flushing and retrieving,Sporting,11 - 20,38 - 46,10 - 12 years,"Friendly, Energetic, Obedient, Intelligent, Protective, Trainable",Unknown,https://cdn2.thedogapi.com/images/SkmRJl9VQ.jpg
18,Anatolian Shepherd Dog,Livestock herding,Working,36 - 68,69 - 74,11 - 13 years,"Steady, Bold, Independent, Confident, Intelligent, Proud",Unknown,https://cdn2.thedogapi.com/images/BJT0Jx5Nm.jpg
19,Appenzeller Sennenhund,"Herding livestock, pulling carts, and guarding the farm",Unknown,22 - 25,51 - 56,12 – 14 years,"Reliable, Fearless, Energetic, Lively, Self-assured",Unknown,https://cdn2.thedogapi.com/images/HkNkxlqEX.jpg
21,Australian Cattle Dog,"Cattle herding, herding trials",Herding,20 - 28,43 - 51,12 - 14 years,"Cautious, Energetic, Loyal, Obedient, Protective, Brave",Unknown,https://cdn2.thedogapi.com/images/IBkYVm4v1.jpg
22,Australian Kelpie,"Farm dog, Cattle herding",Herding,14 - 21,43 - 51,10 - 13 years,"Friendly, Energetic, Alert, Loyal, Intelligent, Eager",Unknown,https://cdn2.thedogapi.com/images/Hyq1ge9VQ.jpg
23,Australian Shepherd,Sheep herding,Herding,16 - 29,46 - 58,12 - 16 years,"Good-natured, Affectionate, Intelligent, Active, Protective",Unknown,https://cdn2.thedogapi.com/images/B1-llgq4m.jpg
24,Australian Terrier,"Cattle herdering, hunting snakes and rodents",Terrier,6 - 7,25 - 28,15 years,"Spirited, Alert, Loyal, Companionable, Even Tempered, Courageous",Unknown,https://cdn2.thedogapi.com/images/r1Ylge5Vm.jpg
25,Azawakh,"Livestock guardian, hunting",Hound,15 - 25,58 - 74,10 - 13 years,"Aloof, Affectionate, Attentive, Rugged, Fierce, Refined",Unknown,https://cdn2.thedogapi.com/images/SkvZgx94m.jpg
26,Barbet,Hunting water game,Unknown,18 - 29,51 - 66,13 – 15 years,"Obedient, Companionable, Intelligent, Joyful",Unknown,https://cdn2.thedogapi.com/images/HyWGexcVQ.jpg
28,Basenji,Hunting,Hound,10 - 11,41 - 43,10 - 12 years,"Affectionate, Energetic, Alert, Curious, Playful, Intelligent",Unknown,https://cdn2.thedogapi.com/images/H1dGlxqNQ.jpg
29,Basset Bleu de Gascogne,Hunting on foot.,Hound,16 - 18,33 - 38,10 - 14 years,"Affectionate, Lively, Agile, Curious, Happy, Active",Unknown,https://cdn2.thedogapi.com/images/BkMQll94X.jpg
